 # Produced by franck_proj4.f
 L=    20.000000     N:          200
 # Radius    Energy
 ###################
   2.0000000        -20.840897    
   2.5000000        -28.632980    
   3.0000000        -33.880409    
   3.5000000        -37.478359    
   4.0000000        -40.023956    
   4.5000000        -41.877289    
   5.0000000        -43.264790    
   5.5000000        -44.328560    
   6.0000000        -45.160851    
   6.5000000        -45.822788    
   7.0000000        -46.358292    
   7.5000000        -46.798855    
   8.0000000        -47.162193    
   8.5000000        -47.468449    
   9.0000000        -47.727711    
   9.5000000        -47.948730    
   10.000000        -48.139069    
