 # Produced by franck_proj4.f
 L=    20.000000     N:          200
 # Radius    Energy
 ###################
   2.0000000        -41.928589    
   2.5000000        -44.336014    
   3.0000000        -45.819878    
   3.5000000        -46.792267    
   4.0000000        -47.462097    
   4.5000000        -47.942795    
   5.0000000        -48.299992    
   5.5000000        -48.572205    
   6.0000000        -48.783363    
   6.5000000        -48.951141    
   7.0000000        -49.085835    
   7.5000000        -49.197887    
   8.0000000        -49.288269    
   8.5000000        -49.366154    
   9.0000000        -49.430973    
   9.5000000        -49.486668    
   10.000000        -49.533504    
