 # Produced by franck_proj4.f
 L=    20.000000     N:          200
 # Radius    Energy
 ###################
   2.0000000        4.53769900E-02
   2.5000000        -7.4836125    
   3.0000000        -16.207470    
   3.5000000        -23.076416    
   4.0000000        -28.239008    
   4.5000000        -32.128300    
   5.0000000        -35.096619    
   5.5000000        -37.401260    
   6.0000000        -39.219574    
   6.5000000        -40.676647    
   7.0000000        -41.859905    
   7.5000000        -42.834396    
   8.0000000        -43.644550    
   8.5000000        -44.326290    
   9.0000000        -44.903637    
   9.5000000        -45.397881    
   10.000000        -45.823936    
