 # Produced by franck_proj4.f
 L=    20.000000     N:          200
 # Radius    Energy
 ###################
   2.0000000        0.61793435    
   2.5000000        0.59325296    
   3.0000000        9.06775147E-02
   3.5000000        -6.0790315    
   4.0000000        -13.303866    
   4.5000000        -19.345551    
   5.0000000        -24.179512    
   5.5000000        -28.030956    
   6.0000000        -31.119102    
   6.5000000        -33.620243    
   7.0000000        -35.667221    
   7.5000000        -37.360786    
   8.0000000        -38.774837    
   8.5000000        -39.968475    
   9.0000000        -40.982441    
   9.5000000        -41.851330    
   10.000000        -42.602100    
