 # created by franck_proj6.f
 # TDSE
 # X in First column, Rho values in Second
 # x                      Probability Density (Rho)
  -5.0000000             4.03960561E-03
  -4.8989897             1.60567537E-02
  -4.7979798             3.57361138E-02
  -4.6969695             6.25264123E-02
  -4.5959597             9.56164300E-02
  -4.4949493             0.13391365    
  -4.3939395             0.17604041    
  -4.2929292             0.22034575    
  -4.1919193             0.26495263    
  -4.0909090             0.30783451    
  -3.9898992             0.34692562    
  -3.8888888             0.38025802    
  -3.7878788             0.40610820    
  -3.6868687             0.42314368    
  -3.5858586             0.43054146    
  -3.4848485             0.42807609    
  -3.3838384             0.41614974    
  -3.2828283             0.39576572    
  -3.1818182             0.36844629    
  -3.0808082             0.33610344    
  -2.9797981             0.30087289    
  -2.8787880             0.26493773    
  -2.7777779             0.23036282    
  -2.6767678             0.19895825    
  -2.5757575             0.17217343    
  -2.4747474             0.15105878    
  -2.3737373             0.13625817    
  -2.2727273             0.12805580    
  -2.1717172             0.12644181    
  -2.0707071             0.13119183    
  -1.9696970             0.14195606    
  -1.8686869             0.15830135    
  -1.7676768             0.17976288    
  -1.6666667             0.20583072    
  -1.5656567             0.23592728    
  -1.4646466             0.26936710    
  -1.3636365             0.30530930    
  -1.2626264             0.34271988    
  -1.1616163             0.38036495    
  -1.0606062             0.41684669    
 -0.95959616             0.45066622    
 -0.85858583             0.48033673    
 -0.75757599             0.50449342    
 -0.65656567             0.52202529    
 -0.55555582             0.53219640    
 -0.45454550             0.53471965    
 -0.35353565             0.52979922    
 -0.25252533             0.51808679    
 -0.15151501             0.50062269    
 -5.05051613E-02         0.47870362    
  5.05051613E-02         0.45373228    
  0.15151501             0.42709160    
  0.25252533             0.40000322    
  0.35353518             0.37342530    
  0.45454550             0.34802034    
  0.55555534             0.32414061    
  0.65656567             0.30192921    
  0.75757551             0.28136426    
  0.85858583             0.26240143    
  0.95959568             0.24506910    
   1.0606060             0.22952837    
   1.1616158             0.21613936    
   1.2626262             0.20545855    
   1.3636360             0.19817896    
   1.4646463             0.19505823    
   1.5656567             0.19679478    
   1.6666665             0.20392896    
   1.7676768             0.21675274    
   1.8686867             0.23523425    
   1.9696970             0.25898430    
   2.0707068             0.28726149    
   2.1717172             0.31904787    
   2.2727270             0.35310787    
   2.3737373             0.38810903    
   2.4747472             0.42267489    
   2.5757575             0.45550495    
   2.6767673             0.48544750    
   2.7777777             0.51152796    
   2.8787875             0.53294748    
   2.9797978             0.54907125    
   3.0808077             0.55944067    
   3.1818180             0.56374031    
   3.2828283             0.56174117    
   3.3838387             0.55329412    
   3.4848480             0.53837872    
   3.5858583             0.51711553    
   3.6868687             0.48973936    
   3.7878790             0.45664886    
   3.8888884             0.41848999    
   3.9898987             0.37612692    
   4.0909090             0.33058295    
   4.1919193             0.28310132    
   4.2929287             0.23511268    
   4.3939390             0.18807323    
   4.4949493             0.14349081    
   4.5959597             0.10287544    
   4.6969700             6.75638169E-02
   4.7979794             3.87694985E-02
   4.8989897             1.74786840E-02
   5.0000000             4.40597581E-03
